Tilda UID;External ID;SKU;Title;Price;Quantity
748655649153;GID-71101K;71101K;Донный клапан без перелива GID Wh100, белый;2050;354
899628570123;GID-76610K;76610K;Донный клапан без перелива GID Gdm100, матовое золото;2350;78
754925833153;GID-73302K;73302K;Донный клапан без перелива GID Ch100, хром;1650;231
353853651733;GID-81101;81101;Напольная раковина GID M9012, 30×33 см, белая;13800;18
271158939073;GID-54464;54464;Накладная раковина GID Mnc503H012, 66,5×41 см, под камень глянцевый;12900;33
336558999843;GID-54488;54488;Накладная раковина GID 630-xz, 48×38 см, под камень;16550;70
158465261843;GID-54489;54489;Накладная раковина GID 630-dg, 48×38 см, под камень;16550;88
361726947003;GID-54484;54484;Накладная раковина GID 530-ts, 49×37 см, под камень;16550;80
660176713683;GID-53405;53405;Накладная раковина GID 9081orm, 36×36 см, оранжевая матовая;15450;9
663661141543;GID-52234;52234;Накладная раковина GID 9030g, 48×34 см, золото;8550;270
617571938363;GID-53352;53352;Накладная раковина GID Bm9133, 48×30,5 см, чёрная матовая;7700;89
361395346053;GID-51228;51228;Накладная раковина GID N9496, 60,5×37 см, белая;8250;210
899737859463;GID-51133;51133;Накладная раковина GID N9234, 56×39 см, белая;4700;12
439924727573;GID-51238;51238;Накладная раковина GID N1335, 40×30 см, белая;4700;39
648400799923;GID-51240;51240;Накладная раковина GID N1205, 50,5×34,5 см, белая;11750;96
